"Company","Firma"
"Email Address","E-Mail Adresse"
"Address","Adresse"
"Street Address","Straße"
"Street Address ","Straße"
"City","Stadt"
"State/Province","Bundesland"
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland"
"Zip/Postal Code","Postleitzahl"
"Country","Land"
"Telephone","Telefon"
"Fax","Fax"
"Save in address book","Im Adressbuch speichern"
"Ship to this address","An diese Adresse verschicken"
"Ship to different address","An andere Adresse verschicken"
"Loading next step...","Nächster Schritt wird geladen"
"Select State/Province...","Land/Bundesland auswählen…"
"Billing Address","Rechnungsadresse"
"Change","Ändern"
"Shipping Address","Versandadresse"
"Shipping Method:","Versandart:"
"Payment Method:","Zahlart:"
"Aitoc Configurable Checkout Section","Aitoc Configurable Checkout Section"
"Aitoc Configurable Checkout","Aitoc Configurable Checkout"
"Billing Information","Rechnungsinformation"
"Show Name Fields","Zeige Namensfelder"
"Show Company Field","Zeige Feld Firma"
"Show Address Fields","Zeige Adressefelder"
"Show City Field","Zeige Feld Stadt"
"Show Region Field","Zeige Feld Bundesland"
"Show Country Field","Zeige Feld Land"
"Show Zip/Postal Code Field","Zeige Feld Postleitzahlen"
"Show Phone Field","Zeige Feld Telefonnummer"
"Show Fax Field","Zeige Feld Faxnummer"
"Shipping information","Versandinformation"
"Enabled Section","Aktivierte Sektion"
"Fill Shipping Information with Billing information if disabled.","Lieferadresse entspricht Rechnungsadresse"
"step will be disabled if you have only flat rate or free shipping method active (should be enabled for all countries)","Schritt wird deaktiviert, wenn Sie nur Flatrate oder kostenlosen Versand aktiviert haben (sollte fuer alle Bundesländer eingeschaltet sein)"
"Payment Information","Zahlungsinformation"
"step will be disabled only when ""Check/Money order"" is the only active payment method","Schritt wird deaktiviert, wenn Sie nur ""Check/Money order"" aktiviert haben"
"Invalid data","Ungültige Daten"
"Customer Address is not valid.","Ungültige Kundenadresse"
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","Mit dieser E-Mail Adresse ist bereits ein Kundenkonto registriert worden. Bitte melden Sie sich mit dieser E-Mail Adresse an oder erstellen Sie mit einer anderen E-Mail Adresse ein neues Kundenkonto."
"Invalid data.","Ungültige Daten."