"Authorization","Autorisation"
"Password","Mot de passe"
"Payment to Specific countries","Payment to Specific countries"
"Payment to applicable countries","Payment to applicable countries"
"Preauthorization","Prè-autorisation"
"Request Type","Type de demande"
"Test Mode","Mode test"
"The order has been canceled","La commande a ètè annulèe"
"The payment has been authorized successfully","Le paiement a ètè autorisè avec succès"
"The payment has been captured successfully","Le paiement a ètè reáu avec succès"
"You will be redirected to our secure payment page when you place an order.","Vous allez ítre redirigè vers notre page de paiement sècurisè une fois votre commande enregistrèe."
"Debug","Debug"
"Minimum Order Total","Commande minimum totale"
"Maximum Order Total","Commande maximum totale"
"Payment has been preauthorized.","Le paiement a ètè prè-autorisè."
"Payment has been authorized and captured","Le paiement a ètè autorisè et reáu"
"Payment preauthorization started.","La prè-autorisation du paiement a commencè."
"Payment authorization started.","L'autorisation de paiement a commencè."
"Payment has been captured.","Le paiement a ètè reáu."
"Payment has been refunded.","Le paiement a ètè remboursè"
"Payment has been reversed.","Le paiement a ètè retournè"
"Change credit card information","Modifier les informations de carte de crèdit"
"Change bank account information","Modifier les informations du compte bancaire"
"Name on Card","Nom sur la carte"
"Credit Card Type","Type de carte de crèdit"
"Credit Card Number","numèro de la carte"
"Expiration Date","Date d'expiration"
"What is this?","Qu'est ce que cela?"
"Name on the Card: %s","Nom sur la carte %s"
"Credit Card Type: %s","type de carte de crèdit %s"
"Credit Card Number: xxxx-%s","numèro de la carte: xxxx-%s"
"Expiration Date: %s/%s","Date d'expiration: %s/%s"
"--Please Select--","--Veuillez selectionner--"
"Month","Mois"
"Year","Annèe"
"Account holder","Titulaire du compte"
"Bank name","Nom de la banque"
"Bank code","Code Banque"
"Account number","Numèro de compte"
"Account holder: %s","Titulaire du compte: %s"
"Bank name: %s","Nom de la banque: %s"
"Bank code: %s","Code banque: %s"
"Account number: xxx%s","Numèro du compte: xxx%s"
"Transaction ID: %s","Transaction ID: %s"